Time_s,Gen_AC_V,Inv_AC_V,Inv_AC_A,Inv_AC_W,Bat_DC_V,MPPT_DC_A,MPPT_DC_W,Bat_SoC_Pct,Bat_Energy_Wh,Inv_DC_A,Inv_DC_W,Inv_Efficiency_Pct,Rotor_RPM,Temp_Gen_C,Temp_Box_C,Temp_ESP_C
0.0,4.6,0.0,0.00,0.0,12.46,-0.00,0.0,72.0,561.7,0.39,4.8,0.0,0,24.3,27.0,57.2
1.0,4.6,3.1,0.00,0.0,12.47,-0.00,0.0,72.1,562.5,0.35,4.4,0.0,0,24.3,26.9,57.8
2.0,4.6,3.5,0.00,0.0,12.47,-0.00,0.0,72.1,562.5,0.37,4.6,0.0,0,24.3,26.9,57.8
3.0,4.6,3.8,0.00,0.0,12.47,-0.00,0.0,72.1,562.5,0.36,4.5,0.0,0,24.3,26.9,57.8
4.0,4.6,3.2,0.00,0.0,12.47,-0.00,0.0,72.2,563.3,0.36,4.5,0.0,0,24.3,26.9,57.8
5.0,4.6,2.2,0.00,0.0,12.47,-0.00,0.0,72.1,562.5,0.37,4.6,0.0,0,24.3,27.0,57.8
6.0,4.6,0.9,0.00,0.0,12.47,-0.00,0.0,72.1,562.5,0.37,4.6,0.0,0,24.3,26.9,57.8
7.0,4.6,1.7,0.00,0.0,12.47,-0.00,0.0,72.1,562.5,0.36,4.5,0.0,0,24.3,26.9,57.8
8.0,4.6,2.7,0.00,0.0,12.47,-0.00,0.0,72.2,563.3,0.35,4.4,0.0,0,24.3,26.9,57.8
