Time_s,Gen_AC_V,Inv_AC_V,Inv_AC_A,Inv_AC_W,Bat_DC_V,MPPT_DC_A,MPPT_DC_W,Bat_SoC_Pct,Bat_Energy_Wh,Inv_DC_A,Inv_DC_W,Inv_Efficiency_Pct,Rotor_RPM,Temp_Gen_C,Temp_Box_C,Temp_ESP_C
0.0,0.0,0.0,0.00,0.0,12.89,0.73,10.0,100.0,780.0,0.36,4.6,0.0,342,31.3,30.6,63.9
1.0,0.0,0.0,0.00,0.0,12.87,0.73,8.8,100.0,780.0,0.00,0.0,0.0,542,31.2,30.6,64.4
2.0,0.0,0.0,0.00,0.0,12.87,0.57,7.4,100.0,780.0,0.00,0.0,0.0,208,31.2,30.6,64.4
3.0,0.0,0.0,0.00,0.0,12.86,0.73,8.3,100.0,780.0,0.00,0.0,0.0,248,31.3,30.6,64.4
4.0,0.0,0.0,0.00,0.0,12.88,0.82,10.6,100.0,780.0,0.00,0.0,0.0,338,31.2,30.6,65.0
5.0,0.0,0.0,0.00,0.0,12.87,0.50,7.0,100.0,780.0,0.00,0.0,0.0,246,31.2,30.6,65.0
6.0,0.0,0.0,0.00,0.0,12.86,0.59,7.6,100.0,780.0,0.00,0.0,0.0,360,31.3,30.6,64.4
7.0,0.0,0.0,0.00,0.0,12.87,0.71,9.2,100.0,780.0,0.00,0.0,0.0,549,31.2,30.6,65.0
8.0,0.0,0.0,0.00,0.0,12.88,0.65,9.6,100.0,780.0,0.00,0.0,0.0,346,31.3,30.6,64.4
9.0,0.0,0.0,0.00,0.0,12.86,0.69,8.9,100.0,780.0,0.00,0.0,0.0,407,31.3,30.6,64.4
10.0,0.0,0.0,0.00,0.0,12.91,0.82,10.6,100.0,780.0,0.00,0.0,0.0,212,31.3,30.6,65.0
11.0,0.0,0.0,0.00,0.0,12.88,0.82,10.6,100.0,780.0,0.00,0.0,0.0,342,31.3,30.6,64.4
12.0,0.0,0.0,0.00,0.0,12.87,0.55,7.4,100.0,780.0,0.00,0.0,0.0,328,31.3,30.6,65.0
13.0,0.0,0.0,0.00,0.0,12.89,0.76,9.8,100.0,780.0,0.00,0.0,0.0,213,31.3,30.6,65.0
14.0,0.0,0.0,0.00,0.0,12.88,0.56,7.9,100.0,780.0,0.00,0.0,0.0,452,31.3,30.6,64.4
15.0,0.0,0.0,0.00,0.0,12.86,0.50,7.0,100.0,780.0,0.00,0.0,0.0,207,31.3,30.6,65.0
16.0,0.0,0.0,0.00,0.0,12.87,0.63,8.1,100.0,780.0,0.00,0.0,0.0,450,31.3,30.6,65.0
17.0,0.0,0.0,0.00,0.0,12.88,0.64,7.7,100.0,780.0,0.00,0.0,0.0,206,31.3,30.6,64.4
18.0,0.0,0.0,0.00,0.0,12.88,0.82,10.6,100.0,780.0,0.00,0.0,0.0,261,31.3,30.6,64.4
19.0,0.0,0.0,0.00,0.0,12.88,0.77,9.7,100.0,780.0,0.00,0.0,0.0,271,31.3,30.6,64.4
20.0,0.0,0.0,0.00,0.0,12.87,0.64,8.2,100.0,780.0,0.00,0.0,0.0,530,31.3,30.6,64.4
21.0,0.0,0.0,0.00,0.0,12.86,0.57,7.4,100.0,780.0,0.00,0.0,0.0,203,31.3,30.6,64.4
